interval_width,algorithm,replication_number,interval_start,interval_end,duration
10000,sieve_of_eratosthenes,-1,662796,672796,0.08804178237915039
10000,sieve_of_eratosthenes,-1,935440,945440,0.12396001815795898
10000,naive_algorithm,-1,138915,148915,0.027044296264648438
100,sieve_of_eratosthenes,-1,439333,439433,0.05499768257141113
10000,naive_algorithm,-1,323908,333908,0.037989139556884766
1000,sieve_of_sundaram,-1,488786,489786,0.20696783065795898
10000,sieve_of_sundaram,-1,937679,947679,0.43103528022766113
10,sieve_of_sundaram,-1,348902,348912,0.1420001983642578
100,sieve_of_sundaram,-1,144314,144414,0.056002140045166016
10,naive_algorithm,-1,829269,829279,0.0
10000,sieve_of_sundaram,-1,729758,739758,0.32399773597717285
10,naive_algorithm,-1,765374,765384,0.0
1000,sieve_of_sundaram,-1,737791,738791,0.3231847286224365
100,sieve_of_sundaram,-1,667609,667709,0.285999059677124
10000,naive_algorithm,-1,19559,29559,0.015000104904174805
10,naive_algorithm,-1,999479,999489,0.0
10000,sieve_of_eratosthenes,-1,212661,222661,0.026999711990356445
10000,sieve_of_sundaram,-1,476278,486278,0.2030031681060791
10,sieve_of_sundaram,-1,184429,184439,0.07103133201599121
100,sieve_of_sundaram,-1,730640,730740,0.3190031051635742
100,naive_algorithm,-1,626599,626699,0.0010006427764892578
10,sieve_of_sundaram,-1,703511,703521,0.3039665222167969
10000,sieve_of_sundaram,-1,34023,44023,0.017000198364257812
1000,naive_algorithm,-1,477188,478188,0.003999233245849609
10,sieve_of_sundaram,-1,622878,622888,0.2700002193450928
100,sieve_of_eratosthenes,-1,185639,185739,0.023000478744506836
10,sieve_of_sundaram,-1,505316,505326,0.21700096130371094
10,sieve_of_sundaram,-1,266256,266266,0.10699844360351562
1000,sieve_of_eratosthenes,-1,268937,269937,0.032999515533447266
100,naive_algorithm,-1,768256,768356,0.001001119613647461
10,naive_algorithm,-1,936279,936289,0.0
1000,sieve_of_eratosthenes,-1,397073,398073,0.049999237060546875
100,sieve_of_sundaram,-1,185212,185312,0.07303643226623535
1000,naive_algorithm,-1,293230,294230,0.0030045509338378906
1000,sieve_of_eratosthenes,-1,574983,575983,0.07696104049682617
10000,sieve_of_sundaram,-1,516441,526441,0.2200002670288086
10000,naive_algorithm,-1,111129,121129,0.023997068405151367
1000,naive_algorithm,-1,436271,437271,0.004000425338745117
10,sieve_of_eratosthenes,-1,357649,357659,0.04725146293640137
1000,naive_algorithm,-1,104788,105788,0.001995086669921875
100,naive_algorithm,-1,932047,932147,0.000997781753540039
10000,sieve_of_sundaram,-1,128941,138941,0.05100202560424805
10,naive_algorithm,-1,691130,691140,0.0
10000,sieve_of_eratosthenes,-1,253530,263530,0.03200483322143555
10000,sieve_of_eratosthenes,-1,900508,910508,0.11800050735473633
10,naive_algorithm,-1,699823,699833,0.0
10000,naive_algorithm,-1,42943,52943,0.016997098922729492
10000,sieve_of_eratosthenes,-1,119025,129025,0.015990018844604492
100,sieve_of_eratosthenes,-1,130224,130324,0.01597309112548828
10000,naive_algorithm,-1,543195,553195,0.04603314399719238
100,sieve_of_eratosthenes,-1,867541,867641,0.11300086975097656
10,sieve_of_eratosthenes,-1,842927,842937,0.10700273513793945
1000,sieve_of_eratosthenes,-1,430100,431100,0.05399036407470703
100,sieve_of_sundaram,-1,439384,439484,0.18701386451721191
10000,sieve_of_eratosthenes,-1,962730,972730,0.12801194190979004
10000,sieve_of_eratosthenes,-1,792326,802326,0.10121631622314453
10000,sieve_of_eratosthenes,-1,24026,34026,0.004000186920166016
10000,sieve_of_sundaram,-1,723959,733959,0.3260312080383301
10,sieve_of_sundaram,-1,799180,799190,0.3619687557220459
100,sieve_of_eratosthenes,-1,7346,7446,0.0010013580322265625
1000,sieve_of_sundaram,-1,495448,496448,0.21199750900268555
10,naive_algorithm,-1,873638,873648,0.0
10000,naive_algorithm,-1,896667,906667,0.05399799346923828
10,naive_algorithm,-1,60739,60749,0.0
1000,sieve_of_sundaram,-1,256162,257162,0.1040341854095459
10000,sieve_of_sundaram,-1,995937,1005937,0.4500002861022949
10000,sieve_of_sundaram,-1,131421,141421,0.05499625205993652
1000,naive_algorithm,-1,947640,948640,0.005003929138183594
100,sieve_of_eratosthenes,-1,805159,805259,0.10596489906311035
100,sieve_of_eratosthenes,-1,353902,354002,0.04500079154968262
1000,sieve_of_eratosthenes,-1,642024,643024,0.08203601837158203
10,naive_algorithm,-1,935406,935416,0.0
100,sieve_of_sundaram,-1,596146,596246,0.2579941749572754
1000,naive_algorithm,-1,896696,897696,0.00496983528137207
1000,naive_algorithm,-1,366441,367441,0.004034996032714844
10000,sieve_of_eratosthenes,-1,380624,390624,0.047998905181884766
10,sieve_of_sundaram,-1,166236,166246,0.06200432777404785
10000,sieve_of_eratosthenes,-1,297010,307010,0.03896069526672363
100,sieve_of_eratosthenes,-1,950452,950552,0.12501168251037598
10000,naive_algorithm,-1,923728,933728,0.0570218563079834
1000,sieve_of_eratosthenes,-1,923000,924000,0.11900186538696289
1000,sieve_of_sundaram,-1,392769,393769,0.162001371383667
100,sieve_of_eratosthenes,-1,690533,690633,0.09300088882446289
10,naive_algorithm,-1,253144,253154,0.0
100,sieve_of_sundaram,-1,261015,261115,0.10399818420410156
1000,naive_algorithm,-1,192079,193079,0.002999544143676758
1000,sieve_of_eratosthenes,-1,922582,923582,0.12100028991699219
1000,sieve_of_sundaram,-1,154706,155706,0.06100130081176758
10,naive_algorithm,-1,552564,552574,0.0
10,naive_algorithm,-1,683323,683333,0.0
1000,sieve_of_eratosthenes,-1,260217,261217,0.031993865966796875
10,naive_algorithm,-1,782954,782964,0.0
1000,naive_algorithm,-1,268982,269982,0.004002571105957031
100,sieve_of_sundaram,-1,167855,167955,0.06299614906311035
10,sieve_of_sundaram,-1,455235,455245,0.18801093101501465
10000,sieve_of_eratosthenes,-1,920442,930442,0.1199946403503418
10,sieve_of_sundaram,-1,214049,214059,0.08500051498413086
10000,sieve_of_eratosthenes,-1,639312,649312,0.08400082588195801
100,sieve_of_eratosthenes,-1,121285,121385,0.013999700546264648
100,sieve_of_sundaram,-1,645043,645143,0.2759993076324463
10000,sieve_of_sundaram,-1,529874,539874,0.23396849632263184
10,sieve_of_sundaram,-1,807213,807223,0.35603761672973633
10000,sieve_of_sundaram,-1,402722,412722,0.17395997047424316
100,naive_algorithm,-1,955727,955827,0.0
10000,sieve_of_eratosthenes,-1,258011,268011,0.03203296661376953
10000,sieve_of_eratosthenes,-1,716916,726916,0.09400057792663574
100,naive_algorithm,-1,508248,508348,0.0
100,sieve_of_sundaram,-1,472090,472190,0.1949937343597412
1000,naive_algorithm,-1,79185,80185,0.0019991397857666016
1000,naive_algorithm,-1,310094,311094,0.00299835205078125
100,naive_algorithm,-1,466581,466681,0.0010020732879638672
100,sieve_of_sundaram,-1,47722,47822,0.0160064697265625
10,sieve_of_eratosthenes,-1,361508,361518,0.04500579833984375
10000,naive_algorithm,-1,474367,484367,0.04895353317260742
1000,sieve_of_eratosthenes,-1,889318,890318,0.1170344352722168
1000,sieve_of_sundaram,-1,606262,607262,0.27299976348876953
10000,naive_algorithm,-1,134916,144916,0.02900242805480957
10000,naive_algorithm,-1,100167,110167,0.0240018367767334
10000,sieve_of_sundaram,-1,608669,618669,0.2689998149871826
100,naive_algorithm,-1,127098,127198,0.0
100,sieve_of_sundaram,-1,451838,451938,0.19100332260131836
1000,naive_algorithm,-1,560980,561980,0.003998517990112305
10000,sieve_of_eratosthenes,-1,658761,668761,0.08399367332458496
10000,sieve_of_sundaram,-1,896949,906949,0.40300583839416504
1000,sieve_of_sundaram,-1,316761,317761,0.13399863243103027
1000,naive_algorithm,-1,620419,621419,0.006009817123413086
1000,sieve_of_sundaram,-1,54036,55036,0.019002199172973633
10,naive_algorithm,-1,200766,200776,0.0
1000,naive_algorithm,-1,749024,750024,0.004992485046386719
100,sieve_of_sundaram,-1,104666,104766,0.040004730224609375
10,sieve_of_eratosthenes,-1,471360,471370,0.06299710273742676
1000,naive_algorithm,-1,702158,703158,0.004996061325073242
100,sieve_of_eratosthenes,-1,767518,767618,0.09796833992004395
100,sieve_of_eratosthenes,-1,632084,632184,0.07903480529785156
10,sieve_of_eratosthenes,-1,180981,180991,0.02199721336364746
1000,sieve_of_eratosthenes,-1,943264,944264,0.12200188636779785
100,sieve_of_eratosthenes,-1,259309,259409,0.03299260139465332
10,sieve_of_eratosthenes,-1,958805,958815,0.12497162818908691
10,sieve_of_eratosthenes,-1,364267,364277,0.0460352897644043
100,sieve_of_eratosthenes,-1,960725,960825,0.12997198104858398
10,sieve_of_sundaram,-1,158318,158328,0.060027122497558594
100,sieve_of_sundaram,-1,363951,364051,0.15500330924987793
1000,sieve_of_eratosthenes,-1,802584,803584,0.10699868202209473
1000,sieve_of_eratosthenes,-1,382568,383568,0.048996925354003906
100,sieve_of_sundaram,-1,111621,111721,0.0410006046295166
100,naive_algorithm,-1,640132,640232,0.0010006427764892578
10000,sieve_of_eratosthenes,-1,427377,437377,0.05800819396972656
1000,sieve_of_eratosthenes,-1,348063,349063,0.04499983787536621
1000,naive_algorithm,-1,695626,696626,0.004993915557861328
100,sieve_of_eratosthenes,-1,855511,855611,0.1119992733001709
10000,sieve_of_eratosthenes,-1,357326,367326,0.04600024223327637
10,naive_algorithm,-1,954355,954365,0.0
10,naive_algorithm,-1,71834,71844,0.0
1000,sieve_of_sundaram,-1,920010,921010,0.4349660873413086
10000,sieve_of_sundaram,-1,875497,885497,0.40399789810180664
